source_file,time,Unnamed: 0,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,RmCo2,AirflowSpRht,SuplFanCmd,SuplFanState,Cooling_Stg_Cmd,Heating_Stg_Cmd
H.csv,2025-01-27 14:30:00,0,650.495,0.0,100.0,84.55000000000001,849.67,0.0,70.0,83.25999999999999,74.0,0.0,70.0,72.0,69.67,,67.0,69.0,85.0,68.0,,,,,,
J.csv,2025-01-27 14:30:00,0,656.85,0.0,13.25,59.325,642.02,0.0,70.0,100.0,74.0,0.0,70.0,72.0,66.075,,67.0,69.0,85.0,55.0,482.0,,,,,
UU.csv,2025-01-27 14:30:00,0,645.2,0.0,88.0,68.69,638.8399999999999,0.0,70.47,30.825,74.0,0.0,73.0,70.99,70.95,0.0,64.0,71.0,65.0,65.0,,,,,,
K.csv,2025-01-27 14:30:00,0,899.4649999999999,100.0,100.0,61.18,1875.21,0.0,66.99,0.0,74.0,0.0,70.0,0.0,68.46000000000001,57.655,67.0,69.0,85.0,55.0,486.0,,,,,
O.csv,2025-01-27 14:30:00,0,602.8199999999999,0.0,82.0,62.08,599.64,0.0,68.0,0.0,74.0,0.0,70.0,70.0,69.01,0.0,67.0,69.0,68.0,68.0,1.0,,,,,
X.csv,2025-01-27 14:30:00,0,62.510000000000005,0.0,23.0,63.655,63.57,0.0,68.0,11.71,74.0,0.0,70.0,70.0,68.305,0.0,67.0,69.0,68.0,68.0,,,,,,
TT.csv,2025-01-27 14:30:00,0,594.345,0.0,44.5,62.19,584.81,0.0,70.48,0.0,74.0,0.0,70.0,0.0,69.98,0.0,67.0,69.0,85.0,55.0,,,,,,
Y.csv,2025-01-27 14:30:00,0,141.96,0.0,47.25,68.78999999999999,139.85,0.0,70.0,33.89,74.0,0.0,70.0,0.0,70.09,0.0,84.0,69.0,85.0,68.0,502.0,,,,,
N.csv,2025-01-27 14:30:00,0,591.17,0.0,97.5,88.405,601.76,0.0,70.0,100.0,74.0,0.0,70.0,0.0,68.46000000000001,0.0,84.0,69.0,85.0,68.0,1.0,,,,,
NN.csv,2025-01-27 14:30:00,0,64.63,0.0,4.5,82.345,63.57,0.0,72.97,51.69,74.0,0.0,70.0,75.0,73.07,0.0,67.0,69.0,68.0,68.0,,,,,,
AA.csv,2025-01-27 14:30:00,0,803.0550000000001,0.0,82.0,94.01,798.82,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.98,,67.0,69.0,85.0,68.0,0.0,,1.0,-1.0,,
L.csv,2025-01-27 14:30:00,0,590.1099999999999,0.0,92.75,71.53,599.64,0.0,70.0,40.385000000000005,74.0,0.0,70.0,0.0,70.25999999999999,57.65,67.0,69.0,68.0,68.0,0.0,,,,,
Z.csv,2025-01-27 14:30:00,0,168.45,0.0,50.5,97.915,167.39,0.0,71.47999999999999,81.86500000000001,75.0,0.0,68.0,74.985,71.575,0.0,84.0,69.0,85.0,68.0,478.0,,,,,
