time,AirFlow,Air_Flow_Diff,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,Room_Temperature_Diff,SaTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-28 23:45:00,475.3333333333333,-12.720000000000027,0.0,3.8333333333333335,91.7,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.13666666666667,-2.1099999999999994,,84.0,69.0,78.0,68.0,,
2025-01-29 00:00:00,476.04333333333335,2.1100000000000136,0.0,3.5,91.51333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.10666666666667,-1.7099999999999937,,84.0,69.0,78.0,68.0,,
2025-01-29 00:15:00,480.28000000000003,-2.1200000000000045,0.0,3.5,91.27333333333333,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.85666666666667,-1.9599999999999937,,84.0,69.0,78.0,68.0,,
2025-01-29 00:30:00,488.0466666666666,-6.360000000000014,0.0,3.5,91.27,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.81,-2.230000000000004,,84.0,69.0,78.0,68.0,,
2025-01-29 00:45:00,482.3966666666667,8.46999999999997,0.0,3.5,91.14999999999999,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.93666666666667,-2.0900000000000034,,84.0,69.0,78.0,68.0,,
2025-01-29 01:00:00,476.03999999999996,-8.480000000000018,0.0,3.5,91.16666666666667,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.75,-2.069999999999993,,84.0,69.0,78.0,68.0,,
2025-01-29 01:15:00,482.40000000000003,-10.600000000000023,0.0,3.5,91.13,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.64666666666666,-2.219999999999999,,84.0,69.0,78.0,68.0,,
2025-01-29 01:30:00,490.1666666666667,-4.240000000000009,0.0,3.6666666666666665,91.20666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.41333333333334,-2.489999999999995,,84.0,69.0,78.0,68.0,,
2025-01-29 01:45:00,480.2833333333333,4.230000000000018,0.0,4.0,91.23666666666668,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.35666666666667,-2.6500000000000057,,84.0,69.0,78.0,68.0,,
2025-01-29 02:00:00,484.51666666666665,0.0,0.0,4.166666666666667,91.25666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.33999999999999,-2.6500000000000057,,84.0,69.0,78.0,68.0,,
2025-01-29 02:15:00,469.68333333333334,-12.720000000000027,0.0,4.333333333333333,91.51666666666667,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.24666666666667,-2.680000000000007,,84.0,69.0,78.0,68.0,,
2025-01-29 02:30:00,480.9866666666667,-10.600000000000023,0.0,4.5,91.58,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.32666666666667,-2.739999999999995,,84.0,69.0,78.0,68.0,,
2025-01-29 02:45:00,478.8666666666666,8.46999999999997,0.0,4.5,91.51333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.34666666666668,-2.739999999999995,,84.0,69.0,78.0,68.0,,
2025-01-29 03:00:00,485.9266666666667,-4.240000000000009,0.0,4.5,91.55666666666667,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.24,-2.700000000000003,,84.0,69.0,78.0,68.0,,
2025-01-29 03:15:00,482.40000000000003,4.230000000000018,0.0,4.666666666666667,91.58,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.23666666666666,-2.760000000000005,,84.0,69.0,78.0,68.0,,
2025-01-29 03:30:00,482.3966666666667,-2.1200000000000045,0.0,4.833333333333333,91.91333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.33666666666666,-2.769999999999996,,84.0,69.0,78.0,68.0,,
2025-01-29 03:45:00,481.69,-4.240000000000009,0.0,5.0,91.86333333333333,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.34333333333333,-2.5600000000000023,,84.0,69.0,78.0,68.0,,
2025-01-29 04:00:00,483.1066666666666,4.230000000000018,0.0,5.0,91.88333333333333,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.24,-2.6700000000000017,,84.0,69.0,78.0,68.0,,
2025-01-29 04:15:00,473.92333333333335,10.589999999999975,0.0,4.833333333333333,91.93333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.52333333333333,-2.760000000000005,,84.0,69.0,78.0,68.0,,
2025-01-29 04:30:00,475.33666666666664,-12.720000000000027,0.0,5.0,91.79333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.62,-2.3599999999999994,,84.0,69.0,78.0,68.0,,
2025-01-29 04:45:00,466.85999999999996,0.0,0.0,5.0,91.87666666666667,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.64999999999999,-2.3799999999999955,,84.0,69.0,78.0,68.0,,
2025-01-29 05:00:00,474.6266666666666,-19.069999999999993,0.0,5.333333333333333,92.05333333333333,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.54666666666667,-2.4000000000000057,,84.0,69.0,78.0,68.0,,
2025-01-29 05:15:00,483.81,-14.840000000000032,0.0,6.0,92.28333333333335,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.43666666666667,-2.489999999999995,,84.0,69.0,78.0,68.0,,
2025-01-29 05:30:00,480.98333333333335,2.1100000000000136,0.0,5.833333333333333,92.39333333333333,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.35666666666667,-2.6299999999999955,,84.0,69.0,78.0,68.0,,
2025-01-29 05:45:00,492.99,-10.600000000000023,0.0,6.333333333333333,92.48,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.31333333333333,-2.6500000000000057,,84.0,69.0,78.0,68.0,,
