time,BldgStaticPres,BldgStaticPresSp,ClgPct,ClgStgCmd01,ClgStgCmd02,EconEna,EconEnaSp,EffRmSp,EffSuplAirTempSp,ExhAirDmprFbk,ExhFanSpd,FltAlm,HtgAlm,HtgPct,HtgStgCmd01,HtgStgCmd02,OccCmd,OccStatus,OutAirDmprFbk,OutAirFlow,OutAirTemp,RmTemp,SuplAirHtgSp,SuplAirStaticPres,SuplAirTemp,SuplAirTempAlm,SuplAirTempSp,SuplFanAlm,SuplFanSpd,SuplFanStatus,SuplFanSts,UnoccClgSp,UnoccHtgSp,oppMode
2025-02-11 02:00:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,40.01333333333333,67.96,100.0,0.3433333333333333,61.5,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 02:15:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,40.04666666666667,67.93333333333334,100.0,0.34,61.52,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 02:30:00,-0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,40.02666666666667,67.97000000000001,100.0,0.3466666666666667,61.50333333333333,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 02:45:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,39.973333333333336,67.99666666666667,100.0,0.3433333333333333,61.49,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 03:00:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,39.81333333333333,68.00666666666666,100.0,0.3466666666666667,61.449999999999996,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 03:15:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,39.60333333333333,68.0,100.0,0.33666666666666667,61.376666666666665,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 03:30:00,-0.006666666666666667,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,39.443333333333335,68.00666666666666,100.0,0.3433333333333333,61.28333333333333,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 03:45:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,39.49666666666667,68.03,100.0,0.3333333333333333,61.30666666666667,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 04:00:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,39.36666666666667,68.02,100.0,0.34,61.300000000000004,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 04:15:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,39.343333333333334,68.00333333333333,100.0,0.34,61.23666666666667,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
